"stations";"morn_fore";"day_fore";"min_fore";"max_fore";"night_fore"
"1";"ALT";"275.09";"277.21";"274.01";"277.21";"274.28"
"2";"ANT";"269.79";"271.32";"266.28";"271.32";"266.28"
"3";"BAS";"275.64";"277.47";"273.83";"277.63";"273.83"
"4";"BER";"273.22";"276.51";"271.32";"276.57";"271.32"
"5";"CDF";"272.4";"272.95";"270.08";"272.95";"271.15"
"6";"CHD";"271.77";"274.96";"268.63";"274.96";"269.5"
"7";"CHM";"271.66";"272.88";"269.32";"272.88";"269.61"
"8";"DAV";"266.79";"269.4";"261.64";"269.4";"261.64"
"9";"ELM";"271.77";"274.15";"270.4";"274.15";"270.98"
"10";"ENG";"271.54";"273.49";"269.87";"273.49";"270.2"
"11";"GRC";"268.6";"272";"264.61";"272";"264.61"
"12";"GRH";"266.82";"268.67";"262.88";"268.67";"262.88"
"13";"GSB";"264.41";"267.22";"260.57";"267.22";"260.57"
"14";"GVE";"275.36";"280.19";"274.57";"280.19";"275.59"
"15";"JUN";"256.87";"259.16";"252.68";"259.16";"252.74"
"16";"LUG";"276.84";"284.24";"275.62";"284.24";"275.88"
"17";"LUZ";"273.87";"277.72";"273.13";"277.72";"274.12"
"18";"MER";"274.89";"276.82";"272.71";"276.82";"272.89"
"19";"NEU";"276.11";"277.45";"273.34";"277.45";"273.92"
"20";"OTL";"278.16";"283.63";"275.94";"283.63";"275.94"
"21";"PAY";"274.74";"277.5";"272.63";"277.5";"273.25"
"22";"RAG";"274.21";"276.77";"270.77";"276.77";"270.88"
"23";"SAE";"261.9";"264.02";"261.03";"264.02";"261.19"
"24";"SAM";"263.74";"269.05";"260.38";"269.05";"260.38"
"25";"SBE";"266.83";"270.73";"265.98";"270.73";"265.98"
"26";"SIA";"264.79";"269.2";"262.46";"269.2";"262.46"
"27";"SIO";"275.58";"279.27";"271.5";"279.27";"271.5"
"28";"SMA";"272.32";"275.01";"271.79";"275.01";"273.3"
"29";"STG";"272.23";"273.66";"271.79";"273.66";"271.79"
